's	s'
convolution	convolutions
convolve	convolves,convolving,convolved
convoy	convoys
convulse	convulses,convulsed,convulsing
convulsion	convulsions
coo	cooed,coos,cooing
cook	cooked,cooking,cooks
cookbook	cookbooks
cooker	cookers
cookery	cookeries
cookie	cookies
cooking-pot	cooking-pots
cooky	cookies
cool	cooler,coolest,cools,cooling,cooled
coolant	coolants
cooler	coolers
coolie	coolies
cooly	coolies
coomb	coombs
coombe	coombes
coon	coons
coop	coops,cooped,cooping
cooperage	cooperages
cooperate	cooperating,cooperated,cooperates
cooperation	cooperations
cooperative	cooperatives
cooperator	cooperators
coopt	coopts,coopting,coopted
coordinate	coordinates,coordinated,coordinating
coordination	coordinations
coordinator	coordinators
coot	coots
cop	copped,cops,copping
cop-out	cop-outs
copayment	copayments
cope	copes,coping,coped
copepod	copepods
copier	copiers
coping	copings
copolymer	copolymers
copper	coppers
coppice	coppiced,coppices,coppicing
coprocessor	coprocessors
copse	copses
copula	copulas,copulae
copulate	copulated,copulating,copulates
copulation	copulations
copy	copying,copies,copied
copycat	copycats
copyist	copyists
copyright	copyrighting,copyrights,copyrighted
copywriter	copywriters
coquette	coquettes
cor	cors
coracle	coracles
coral	corals
corbel	corbels,corbelled,corbeling,corbelling,corbeled
cord	corded,cords,cording
cordial	cordials
cordiality	cordialities
cordon	cordons,cordoning,cordoned
corduroy	corduroys
core	coring,cored,cores
corgi	corgis
cork	corked,corking,corks
corkage	corkages
corker	corkers
corkscrew	corkscrews
corm	corms
cormorant	cormorants
corn	corning,corned,corns
cornea	corneae,corneas
corner	cornering,corners,cornered
corner-stone	corner-stones
cornerstone	cornerstones
cornet	cornets
corneum	cornea
cornfield	cornfields
cornflake	cornflakes
cornflower	cornflowers
cornice	cornices
cornstarch	cornstarches
cornucopia	cornucopias
corny	corniest,cornier
corolla	corollas
corollary	corollaries
corona	coronae,coronas
coronary	coronaries
coronation	coronations
coronavirus	coronaviruses
coroner	coroners
coronet	coronets
corp	corps
corporal	corporals
corporation	corporations
corpse	corpses
corpus	corpuses,corpora
corpuscle	corpuscles
corral	corraled,corralled,corralling,corrals,corraling
correct	corrects,corrected,correcting
correction	corrections
corrective	correctives
corrector	correctors
correlate	correlating,correlated,correlates
correlation	correlations
correlative	correlatives
correlator	correlators
correspond	corresponded,corresponds,corresponding
correspondence	correspondences
correspondent	correspondents
corridor	corridors
corrie	corries
corroborate	corroborating,corroborated,corroborates
corroboration	corroborations
corrode	corroded,corroding,corrodes
corrosion	corrosions
corrosive	corrosives
corrugate	corrugating,corrugated,corrugates
corrugated	corrugateds
corrugation	corrugations
corrupt	corrupting,corrupts,corrupted
corruption	corruptions
corsage	corsages
corset	corseting,corseted,corsets
cortege	corteges
cortex	cortices,cortexes
corticosteroid	corticosteroids
cortisol	cortisols
cortisone	cortisones
cortège	cortèges
coruscate	coruscating,coruscates,coruscated
corvid	corvids
cosh	coshes,coshing,coshed
cosignatory	cosignatories
cosine	cosines
cosmetic	cosmetics
cosmogony	cosmogonies
cosmologist	cosmologists
cosmology	cosmologies
cosmonaut	cosmonauts
cosmopolitan	cosmopolitans
cosmos	cosmoses
cosset	cosseting,cossets,cosseted
cost	costing,costed,costs
costa	costae
costing	costings
costly	costlier,costliest
costume	costumed,costumes,costuming
costumier	costumiers
cosy	cosier,cosiest,cosies
cot	cots
cote	cotes
coterie	coteries
cotinine	cotinines
cotoneaster	cotoneasters
cotswold	cotswolds
cotta	cottas
cottage	cottages
cottager	cottagers
cotton	cottoning,cottons,cottoned
cottonseed	cottonseeds
cotyledon	cotyledons
couch	couches,couched,couching
couchette	couchettes
cougar	cougars
cough	coughs,coughed,coughing
coulomb	coulombs
coumarin	coumarins
council	councils
councillor	councillors
councilor	councilors
councilwoman	councilwomen
counsel	counsels,counseled,counselling,counselled,counseling
counsellor	counsellors
counselor	counselors
count	counted,counts,counting
countdown	countdowns
countenance	countenanced,countenancing,countenances
counter	counters,countering,countered
counter-argument	counter-arguments
counter-attack	counter-attacked,counter-attacking,counter-attacks
counter-balance	counter-balancing,counter-balances,counter-balanced
counter-claim	counter-claims
counter-culture	counter-cultures
counter-espionage	counter-espionages
counter-example	counter-examples
counter-insurgency	counter-insurgencies
counter-ion	counter-ions
counter-measure	counter-measures
counter-proposal	counter-proposals
counter-revolution	counter-revolutions
counter-revolutionary	counter-revolutionaries
counteract	counteracts,counteracting,counteracted
counterattack	counterattacking,counterattacked,counterattacks
counterbalance	counterbalancing,counterbalances,counterbalanced
counterclaim	counterclaims
counterculture	countercultures
counterexample	counterexamples
counterfactual	counterfactuals
counterfeit	counterfeited,counterfeiting,counterfeits
counterfeiter	counterfeiters
counterfoil	counterfoils
counterinsurgency	counterinsurgencies
counterion	counterions
countermand	countermanded,countermands,countermanding
countermeasure	countermeasures
counterpane	counterpanes
counterpart	counterparts
counterpoint	counterpoints
counterpose	counterposes,counterposing,counterposed
counterrevolution	counterrevolutions
countersign	countersigns,countersigning,countersigned
countersink	countersank,countersinks,countersunk,countersinking
countertenor	countertenors
countervail	countervailing,countervailed,countervails
counterweight	counterweights
countess	countesses
country	countries
countryman	countrymen
countrywoman	countrywomen
county	counties
coup	coups
coupe	coupes
couple	couples,coupling,coupled
coupler	couplers
couplet	couplets
coupling	couplings
coupon	coupons
coupé	coupés
courage	courages
courgette	courgettes
courier	couriers
course	coursed,courses,coursing
courser	coursers
court	courting,courted,courts
court-house	court-houses
court-martial	court-martials,court-martialed,court-martialled,court-martialing,courts-martial,court-martialling
courtesan	courtesans
courtesy	courtesies
courthouse	courthouses
courtier	courtiers
courtly	courtlier,courtliest
courtroom	courtrooms
courtship	courtships
courtyard	courtyards
cousin	cousins
couturier	couturiers
covariance	covariances
covariate	covariates
cove	coves
coven	covens
covenant	covenants,covenanted,covenanting
cover	covers,covered,covering
cover-up	cover-ups
coverage	coverages
covering	coverings
coverlet	coverlets
coverslip	coverslips
covert	coverts
covet	covets,coveting,coveted
cow	cowing,cowed,cows
coward	cowards
cowboy	cowboys
cower	cowers,cowering,cowered
cowhand	cowhands
cowhide	cowhides
cowl	cowls
cowman	cowmen
coworker	coworkers
cowpat	cowpats
cowpea	cowpeas
cowrie	cowries
cowshed	cowsheds
cowslip	cowslips
cox	coxs
coxib	coxibs
coxswain	coxswains
coy	coyest,coyer
coyote	coyotes
cozy	cozier
cp	cps
cpd	cpds
cpu	cpus
crab	crabbing,crabs,crabbed
crack	cracked,cracking,cracks
crack-up	crack-ups
crackdown	crackdowns
cracker	crackers
crackle	crackles,crackled,crackling
crackling	cracklings
crackpot	crackpots
cradle	cradling,cradles,cradled
cradle-snatcher	cradle-snatchers
craft	crafted,crafts,crafting
craftsman	craftsmen
craftsmanship	craftsmanships
craftsperson	craftspersons
craftswoman	craftswomen
crafty	craftiest,craftier
crag	crags
craggy	craggier,craggiest
crake	crakes
cram	cramming,crammed,crams
cramming	crammings
cramp	cramping,cramps,cramped
crampon	crampons
cranberry	cranberries
crane	craned,cranes,craning
cranefly	craneflies
craniotomy	craniotomies
cranium	craniums,crania
crank	cranking,cranks,cranked
crankcase	crankcases
crankshaft	crankshafts
cranky	crankiest,crankier
cranny	crannies
crap	crapped,craps,crapping
crappy	crappiest,crappier
crash	crashed,crashes,crashing
crash-land	crash-landed,crash-landing,crash-lands
crash-landing	crash-landings
crass	crasser,crassest
crate	crated,crates,crating
crater	craters,cratered,cratering
cravat	cravats
cravate	cravates
crave	craves,craved,craving
craving	cravings
craw	craws
crawfish	crawfishes
crawl	crawled,crawls,crawling
crawler	crawlers
crayfish	crayfishes
crayon	crayoned,crayoning,crayons
craze	crazes,crazed,crazing
crazy	crazies,craziest,crazier
creak	creaks,creaked,creaking
creaky	creakier,creakiest
cream	creamer,creamed,creamest,creaming,creams
creamery	creameries
creamy	creamiest,creamier
crease	creased,creasing,creases
create	creates,created,creating
creatine	creatines
creatinine	creatinines
creation	creations
creationist	creationists
creative	creatives
creator	creators
creature	creatures
creche	creches
credential	credentials
credibility	credibilities
credit	credits,credited,crediting
creditor	creditors
credo	credos
credulity	credulities
creed	creeds
creek	creeks
creel	creels
creep	creeping,crept,creeps
creeper	creepers
creepy	creepiest,creepier
creepy-crawly	creepy-crawlies
cremate	cremated,cremates,cremating
cremation	cremations
crematorium	crematoriums,crematoria
creole	creoles
creosote	creosoting,creosotes,creosoted
crescendo	crescendos,crescendi,crescendoes
crescent	crescents
cress	cresses
crest	crested,crests,cresting
cretin	cretins
crevasse	crevasses
crevice	crevices
crew	crewing,crewed,crews
crew-neck	crew-necks
crewman	crewmen
crewmember	crewmembers
crib	cribs,cribbed,cribbing
crick	cricking,cricked,cricks
cricket	crickets
cricketer	cricketers
crier	criers
crime	crimes
criminal	criminals
criminalise	criminalised,criminalising,criminalises
criminalize	criminalizing,criminalized,criminalizes
criminologist	criminologists
criminology	criminologies
crimp	crimping,crimped,crimps
crimson	crimsonest,crimsons,crimsoner
cringe	cringes,cringing,cringed
crinkle	crinkles,crinkled,crinkling
crinkly	crinklier
crinoid	crinoids
crinoline	crinolines
cripple	crippled,cripples,crippling
crisis	crises
crisp	crisper,crisping,crisped,crispest,crisps
crispbread	crispbreads
crispy	crispiest,crispier
criss-cross	criss-crossing,criss-crossed,criss-crosses
crisscross	crisscrossing,crisscrosses,crisscrossed
criterion	criterions,criteria
criterium	criteria
critic	critics
criticise	criticises,criticising,criticised
criticism	criticisms
criticize	criticizing,criticizes,criticized
critique	critiques,critiquing,critiqued
critter	critters
croak	croaking,croaked,croaks
crochet	crocheted,crocheting,crochets
crocidolite	crocidolites
crock	crocks
crocodile	crocodiles
crocus	crocuses,croci
croft	crofts
crofter	crofters
croissant	croissants
crone	crones
crony	cronies
crook	crooked,crooks,crooking
croon	crooned,crooning,croons
crooner	crooners
crop	cropping,cropped,crops
cropland	croplands
cropper	croppers
croquet	croquets
croquette	croquettes
cross	crossest,crosses,crosser,crossed,crossing
cross-bar	cross-bars
cross-breed	cross-breeds,cross-breeding,cross-bred
cross-check	cross-checks,cross-checking,cross-checked
cross-correlation	cross-correlations
cross-dress	cross-dressed,cross-dresses,cross-dressing
cross-examination	cross-examinations
cross-examine	cross-examining,cross-examined,cross-examines
cross-infection	cross-infections
cross-link	cross-links,cross-linking,cross-linked
cross-over	cross-overs
cross-pollinate	cross-pollinates,cross-pollinating,cross-pollinated
cross-pollination	cross-pollinations
cross-question	cross-questioning,cross-questioned,cross-questions
cross-refer	cross-referring,cross-referred,cross-refers
cross-reference	cross-referencing,cross-references,cross-referenced
cross-road	cross-roads
cross-section	cross-sections
cross-stitch	cross-stitches
cross-talk	cross-talks
cross-validation	cross-validations
crossbar	crossbars
crossbill	crossbills
crossbow	crossbows
crossbreed	crossbreeding,crossbred,crossbreeds
crosscountry	crosscountries
crosse	crosses
crosser	crossers
crossfire	crossfires
crossing	crossings
crossover	crossovers
